id,utc_time,utc_offset,device_name,device_address,device_rssi,vent_closed,temperature,humidity,battery_level,led_state,button_state,temp_upper_threshold,temp_lower_threshold
0,1669610010,-5.0,ble_periph_server,D5:BB:FF:22:11:94,-45,True,29.87,35.75,100,0,0,0.0,0.0
1,1669610389,-5.0,ble_periph_server,D5:BB:FF:22:11:94,-52,True,29.79,36.18,100,0,0,0.0,0.0
2,1669611506,-5.0,ble_periph_server,D5:BB:FF:22:11:94,-43,True,29.71,36.02,100,0,0,0.0,0.0
3,1669613322,-5.0,ble_periph_server,D5:BB:FF:22:11:94,-45,True,29.67,36.29,100,0,0,0.0,0.0
4,1669613390,-5.0,ble_periph_server,D5:BB:FF:22:11:94,-42,True,29.67,36.03,100,0,0,0.0,0.0
5,1669613516,-5.0,ble_periph_server,D5:BB:FF:22:11:94,-48,True,29.71,36.15,100,0,0,0.0,0.0
6,1669613807,-5.0,ble_periph_server,D5:BB:FF:22:11:94,-51,True,29.73,36.42,100,0,0,0.0,0.0
7,1669689643,-5.0,ble_periph_server,D5:BB:FF:22:11:94,-50,True,28.5,35.8,100,0,0,0.0,0.0
8,1669689754,-5.0,ble_periph_server,D5:BB:FF:22:11:94,-42,True,28.49,35.5,100,0,0,0.0,0.0
9,1669692614,-5.0,ble_periph_server,D5:BB:FF:22:11:94,-57,False,31.92,0.0,100,0,0,0.0,0.0
10,1669692760,-5.0,ble_periph_server,D5:BB:FF:22:11:94,-43,True,29.36,35.54,100,0,0,0.0,0.0
11,1669693048,-5.0,ble_periph_server,D5:BB:FF:22:11:94,-44,False,28.63,35.43,100,0,0,0.0,0.0
